checkpoint,split_scope,split_role,source_library,instrument,category,subreason,resolution_basis,status,n_rows
glacier_msg,train,gradient_updates,MSnLib_v1.0:MCEBIO,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,9717
glacier_msg,train,gradient_updates,MSnLib_v1.0:MCESCAF,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,6321
glacier_msg,train,gradient_updates,MSnLib_v1.0:NIHNP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,162
glacier_msg,train,gradient_updates,MSnLib_v1.0:OTAVAPEP,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,2649
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,114
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,43
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;NIHNP),QTOF,NATIVE_EV_NOT_NCE,qtof_integer,instrument_semantics,retained,3
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,7
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;NIHNP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,3
glacier_msg,train,gradient_updates,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,12
glacier_msg,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT1_RAW_NCE,msnlib_order_integer_ladder,code_provenance,retained,17
glacier_msg,train,gradient_updates,MSnLib_v1.0:unmatched,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_order_nonladder_or_anomalous,unresolved,retained,6
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:MCEBIO,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,3589
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:MCESCAF,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,9
glacier_msg,train,gradient_updates,MSnLib_v1.0_probable:NIHNP,Orbitrap,CAT4_UNKNOWN_AMBIGUOUS,msnlib_probable_integer_ladder,unresolved,retained,2856
