case_id,agent3_frozen_class,agent4_independent_class,agree,agent3_valid,agent4_valid,agent4_selection_count,agent4_matches_sealed_selection_count,agent4_matches_sealed_representative
PB|held_out|F01|r000,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,11,True,True
PB|held_out|F01|r001,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,1,True,True
PB|held_out|F01|r002,SUCCESS,SUCCESS,True,True,True,1,True,True
PB|held_out|F01|r003,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,5,True,True
PB|held_out|F01|r004,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,3,True,True
PB|held_out|F01|r005,SUCCESS,SUCCESS,True,True,True,1,True,True
PB|held_out|F01|r006,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,3,True,True
PB|held_out|F01|r007,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,6,True,True
PB|held_out|F01|r008,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,5,True,True
PB|held_out|F01|r009,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,9,True,True
PB|held_out|F01|r010,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,2,True,True
PB|held_out|F01|r011,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,9,True,True
PB|held_out|F02|r000,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,23,True,True
PB|held_out|F02|r001,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,28,True,True
PB|held_out|F02|r002,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F02|r003,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,18,True,True
PB|held_out|F02|r004,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,27,True,True
PB|held_out|F02|r005,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,19,True,True
PB|held_out|F02|r006,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,16,True,True
PB|held_out|F02|r007,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,23,True,True
PB|held_out|F02|r008,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,14,True,True
PB|held_out|F02|r009,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F02|r010,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,10,True,True
PB|held_out|F02|r011,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F03|r000,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F03|r001,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,6,True,True
PB|held_out|F03|r002,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,12,True,True
PB|held_out|F03|r003,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,12,True,True
PB|held_out|F03|r004,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,13,True,True
PB|held_out|F03|r005,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,16,True,True
PB|held_out|F03|r006,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,10,True,True
PB|held_out|F03|r007,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F03|r008,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,21,True,True
PB|held_out|F03|r009,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,24,True,True
PB|held_out|F03|r010,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,10,True,True
PB|held_out|F03|r011,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,16,True,True
PB|held_out|F04|r000,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,4,True,True
PB|held_out|F04|r001,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,8,True,True
PB|held_out|F04|r002,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F04|r003,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,25,True,True
PB|held_out|F04|r004,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,16,True,True
PB|held_out|F04|r005,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,9,True,True
PB|held_out|F04|r006,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F04|r007,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,7,True,True
PB|held_out|F04|r008,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,2,True,True
PB|held_out|F04|r009,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,22,True,True
PB|held_out|F04|r010,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,17,True,True
PB|held_out|F04|r011,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,25,True,True
PB|held_out|F05|r000,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,6,True,True
PB|held_out|F05|r001,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,5,True,True
PB|held_out|F05|r002,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,14,True,True
PB|held_out|F05|r003,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,14,True,True
PB|held_out|F05|r004,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,17,True,True
PB|held_out|F05|r005,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,16,True,True
PB|held_out|F05|r006,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,9,True,True
PB|held_out|F05|r007,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,2,True,True
PB|held_out|F05|r008,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F05|r009,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,21,True,True
PB|held_out|F05|r010,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,14,True,True
PB|held_out|F05|r011,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,23,True,True
PB|held_out|F08|r000,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,17,True,True
PB|held_out|F08|r001,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,14,True,True
PB|held_out|F08|r002,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,4,True,True
PB|held_out|F08|r003,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,23,True,True
PB|held_out|F08|r004,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,4,True,True
PB|held_out|F08|r005,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,18,True,True
PB|held_out|F08|r006,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,5,True,True
PB|held_out|F08|r007,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,17,True,True
PB|held_out|F08|r008,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,10,True,True
PB|held_out|F08|r009,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F08|r010,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,21,True,True
PB|held_out|F08|r011,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,12,True,True
PB|held_out|F09|r000,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,19,True,True
PB|held_out|F09|r001,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,19,True,True
PB|held_out|F09|r002,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,26,True,True
PB|held_out|F09|r003,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,25,True,True
PB|held_out|F09|r004,NEVER_ON_FRONT,NEVER_ON_FRONT,True,True,True,27,True,True
PB|held_out|F09|r005,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,24,True,True
PB|held_out|F09|r006,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,17,True,True
PB|held_out|F09|r007,NEVER_ON_FRONT,NEVER_ON_FRONT,True,True,True,21,True,True
PB|held_out|F09|r008,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,24,True,True
PB|held_out|F09|r009,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,21,True,True
PB|held_out|F09|r010,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F09|r011,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,17,True,True
PB|held_out|F10|r000,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,23,True,True
PB|held_out|F10|r001,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,25,True,True
PB|held_out|F10|r002,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,20,True,True
PB|held_out|F10|r003,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,16,True,True
PB|held_out|F10|r004,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,25,True,True
PB|held_out|F10|r005,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,22,True,True
PB|held_out|F10|r006,LOST_IN_RETENTION,LOST_IN_RETENTION,True,True,True,21,True,True
PB|held_out|F10|r007,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,16,True,True
PB|held_out|F10|r008,LOST_IN_CROSS_SEED,LOST_IN_CROSS_SEED,True,True,True,21,True,True
