case_id,direct_class,seeds_with_correct_on_front,seeds_with_retained_correct,representative_correct,valid,invalid_reason
PB|held_out|F01|r000,LOST_IN_CROSS_SEED,16,7,False,True,
PB|held_out|F01|r001,LOST_IN_CROSS_SEED,18,14,False,True,
PB|held_out|F01|r002,SUCCESS,11,8,True,True,
PB|held_out|F01|r003,LOST_IN_CROSS_SEED,20,8,False,True,
PB|held_out|F01|r004,LOST_IN_CROSS_SEED,19,10,False,True,
PB|held_out|F01|r005,SUCCESS,18,16,True,True,
PB|held_out|F01|r006,LOST_IN_CROSS_SEED,16,8,False,True,
PB|held_out|F01|r007,LOST_IN_CROSS_SEED,16,9,False,True,
PB|held_out|F01|r008,LOST_IN_CROSS_SEED,16,12,False,True,
PB|held_out|F01|r009,LOST_IN_CROSS_SEED,19,7,False,True,
PB|held_out|F01|r010,LOST_IN_CROSS_SEED,12,8,False,True,
PB|held_out|F01|r011,LOST_IN_CROSS_SEED,16,7,False,True,
PB|held_out|F02|r000,LOST_IN_RETENTION,15,0,False,True,
PB|held_out|F02|r001,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F02|r002,LOST_IN_RETENTION,17,0,False,True,
PB|held_out|F02|r003,LOST_IN_RETENTION,15,0,False,True,
PB|held_out|F02|r004,LOST_IN_CROSS_SEED,7,2,False,True,
PB|held_out|F02|r005,LOST_IN_RETENTION,17,0,False,True,
PB|held_out|F02|r006,LOST_IN_RETENTION,13,0,False,True,
PB|held_out|F02|r007,LOST_IN_CROSS_SEED,14,1,False,True,
PB|held_out|F02|r008,LOST_IN_CROSS_SEED,15,1,False,True,
PB|held_out|F02|r009,LOST_IN_RETENTION,19,0,False,True,
PB|held_out|F02|r010,LOST_IN_RETENTION,13,0,False,True,
PB|held_out|F02|r011,LOST_IN_RETENTION,11,0,False,True,
PB|held_out|F03|r000,LOST_IN_RETENTION,1,0,False,True,
PB|held_out|F03|r001,LOST_IN_RETENTION,12,0,False,True,
PB|held_out|F03|r002,LOST_IN_RETENTION,18,0,False,True,
PB|held_out|F03|r003,LOST_IN_RETENTION,9,0,False,True,
PB|held_out|F03|r004,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F03|r005,LOST_IN_RETENTION,13,0,False,True,
PB|held_out|F03|r006,LOST_IN_RETENTION,26,0,False,True,
PB|held_out|F03|r007,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F03|r008,LOST_IN_RETENTION,18,0,False,True,
PB|held_out|F03|r009,LOST_IN_RETENTION,9,0,False,True,
PB|held_out|F03|r010,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F03|r011,LOST_IN_CROSS_SEED,10,1,False,True,
PB|held_out|F04|r000,LOST_IN_CROSS_SEED,12,1,False,True,
PB|held_out|F04|r001,LOST_IN_CROSS_SEED,19,4,False,True,
PB|held_out|F04|r002,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F04|r003,LOST_IN_RETENTION,22,0,False,True,
PB|held_out|F04|r004,LOST_IN_CROSS_SEED,9,1,False,True,
PB|held_out|F04|r005,LOST_IN_CROSS_SEED,19,6,False,True,
PB|held_out|F04|r006,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F04|r007,LOST_IN_CROSS_SEED,16,5,False,True,
PB|held_out|F04|r008,LOST_IN_CROSS_SEED,16,2,False,True,
PB|held_out|F04|r009,LOST_IN_CROSS_SEED,22,1,False,True,
PB|held_out|F04|r010,LOST_IN_CROSS_SEED,11,4,False,True,
PB|held_out|F04|r011,LOST_IN_RETENTION,15,0,False,True,
PB|held_out|F05|r000,LOST_IN_CROSS_SEED,15,9,False,True,
PB|held_out|F05|r001,LOST_IN_CROSS_SEED,15,5,False,True,
PB|held_out|F05|r002,LOST_IN_CROSS_SEED,13,1,False,True,
PB|held_out|F05|r003,LOST_IN_CROSS_SEED,13,4,False,True,
PB|held_out|F05|r004,LOST_IN_CROSS_SEED,14,2,False,True,
PB|held_out|F05|r005,LOST_IN_CROSS_SEED,16,5,False,True,
PB|held_out|F05|r006,LOST_IN_CROSS_SEED,19,11,False,True,
PB|held_out|F05|r007,LOST_IN_CROSS_SEED,11,2,False,True,
PB|held_out|F05|r008,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F05|r009,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F05|r010,LOST_IN_CROSS_SEED,18,4,False,True,
PB|held_out|F05|r011,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F08|r000,LOST_IN_CROSS_SEED,9,1,False,True,
PB|held_out|F08|r001,LOST_IN_CROSS_SEED,13,6,False,True,
PB|held_out|F08|r002,LOST_IN_CROSS_SEED,9,2,False,True,
PB|held_out|F08|r003,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F08|r004,LOST_IN_CROSS_SEED,15,2,False,True,
PB|held_out|F08|r005,LOST_IN_CROSS_SEED,13,2,False,True,
PB|held_out|F08|r006,LOST_IN_CROSS_SEED,14,3,False,True,
PB|held_out|F08|r007,LOST_IN_RETENTION,12,0,False,True,
PB|held_out|F08|r008,LOST_IN_CROSS_SEED,14,4,False,True,
PB|held_out|F08|r009,LOST_IN_RETENTION,9,0,False,True,
PB|held_out|F08|r010,LOST_IN_CROSS_SEED,18,1,False,True,
PB|held_out|F08|r011,LOST_IN_CROSS_SEED,17,6,False,True,
PB|held_out|F09|r000,LOST_IN_RETENTION,4,0,False,True,
PB|held_out|F09|r001,LOST_IN_RETENTION,2,0,False,True,
PB|held_out|F09|r002,LOST_IN_RETENTION,5,0,False,True,
PB|held_out|F09|r003,LOST_IN_RETENTION,7,0,False,True,
PB|held_out|F09|r004,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F09|r005,LOST_IN_RETENTION,6,0,False,True,
PB|held_out|F09|r006,LOST_IN_RETENTION,6,0,False,True,
PB|held_out|F09|r007,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F09|r008,LOST_IN_RETENTION,3,0,False,True,
PB|held_out|F09|r009,LOST_IN_RETENTION,4,0,False,True,
PB|held_out|F09|r010,LOST_IN_RETENTION,4,0,False,True,
PB|held_out|F09|r011,LOST_IN_RETENTION,4,0,False,True,
PB|held_out|F10|r000,LOST_IN_CROSS_SEED,30,2,False,True,
PB|held_out|F10|r001,LOST_IN_RETENTION,28,0,False,True,
PB|held_out|F10|r002,LOST_IN_RETENTION,29,0,False,True,
PB|held_out|F10|r003,LOST_IN_CROSS_SEED,27,3,False,True,
PB|held_out|F10|r004,LOST_IN_RETENTION,29,0,False,True,
PB|held_out|F10|r005,LOST_IN_RETENTION,27,0,False,True,
PB|held_out|F10|r006,LOST_IN_RETENTION,29,0,False,True,
PB|held_out|F10|r007,LOST_IN_CROSS_SEED,30,6,False,True,
PB|held_out|F10|r008,LOST_IN_CROSS_SEED,29,3,False,True,
PB|held_out|F10|r009,LOST_IN_RETENTION,28,0,False,True,
PB|held_out|F10|r010,LOST_IN_CROSS_SEED,30,2,False,True,
PB|held_out|F10|r011,LOST_IN_CROSS_SEED,28,1,False,True,
PB|held_out|F11|r000,LOST_IN_RETENTION,15,0,False,True,
PB|held_out|F11|r001,LOST_IN_CROSS_SEED,22,6,False,True,
PB|held_out|F11|r002,LOST_IN_CROSS_SEED,17,3,False,True,
PB|held_out|F11|r003,LOST_IN_RETENTION,12,0,False,True,
PB|held_out|F11|r004,LOST_IN_CROSS_SEED,17,9,False,True,
PB|held_out|F11|r005,LOST_IN_CROSS_SEED,12,5,False,True,
PB|held_out|F11|r006,LOST_IN_CROSS_SEED,13,5,False,True,
PB|held_out|F11|r007,LOST_IN_CROSS_SEED,12,3,False,True,
PB|held_out|F11|r008,LOST_IN_RETENTION,16,0,False,True,
PB|held_out|F11|r009,LOST_IN_CROSS_SEED,16,9,False,True,
PB|held_out|F11|r010,SUCCESS,22,11,True,True,
PB|held_out|F11|r011,LOST_IN_RETENTION,14,0,False,True,
PB|held_out|F12|r000,SUCCESS,21,6,True,True,
PB|held_out|F12|r001,LOST_IN_CROSS_SEED,17,5,False,True,
PB|held_out|F12|r002,LOST_IN_CROSS_SEED,17,8,False,True,
PB|held_out|F12|r003,LOST_IN_CROSS_SEED,14,6,False,True,
PB|held_out|F12|r004,LOST_IN_CROSS_SEED,20,7,False,True,
PB|held_out|F12|r005,LOST_IN_CROSS_SEED,15,7,False,True,
PB|held_out|F12|r006,LOST_IN_RETENTION,20,0,False,True,
PB|held_out|F12|r007,LOST_IN_CROSS_SEED,21,2,False,True,
PB|held_out|F12|r008,LOST_IN_RETENTION,7,0,False,True,
PB|held_out|F12|r009,LOST_IN_CROSS_SEED,18,1,False,True,
PB|held_out|F12|r010,LOST_IN_CROSS_SEED,12,1,False,True,
PB|held_out|F12|r011,LOST_IN_CROSS_SEED,22,5,False,True,
PB|held_out|F17|r000,LOST_IN_CROSS_SEED,10,5,False,True,
PB|held_out|F17|r001,LOST_IN_CROSS_SEED,19,4,False,True,
PB|held_out|F17|r002,LOST_IN_RETENTION,20,0,False,True,
PB|held_out|F17|r003,LOST_IN_CROSS_SEED,12,3,False,True,
PB|held_out|F17|r004,LOST_IN_CROSS_SEED,17,5,False,True,
PB|held_out|F17|r005,LOST_IN_RETENTION,19,0,False,True,
PB|held_out|F17|r006,LOST_IN_CROSS_SEED,17,1,False,True,
PB|held_out|F17|r007,LOST_IN_CROSS_SEED,17,4,False,True,
PB|held_out|F17|r008,LOST_IN_CROSS_SEED,22,7,False,True,
PB|held_out|F17|r009,LOST_IN_RETENTION,15,0,False,True,
PB|held_out|F17|r010,LOST_IN_CROSS_SEED,15,8,False,True,
PB|held_out|F17|r011,LOST_IN_CROSS_SEED,11,5,False,True,
PB|held_out|F18|r000,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r001,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r002,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r003,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r004,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r005,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r006,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r007,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r008,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r009,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r010,NEVER_ON_FRONT,0,0,False,True,
PB|held_out|F18|r011,NEVER_ON_FRONT,0,0,False,True,
