key,name,scaffold_group,n_records,labs,ce_strings,itypes,max_ce_within_lab,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
ADFCQWZHKCXPAJ,Equol,c1ccc(C2COc3ccccc3C2)cc1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AGPKZVBTJJNPAG,L-Isoleucine,__ACYCLIC__AGPKZVBTJJNPAG,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AHLPHDHHMVZTML,Ornithine,__ACYCLIC__AHLPHDHHMVZTML,8,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ALYNCZNDIQEVRV,p-Aminobenzoic acid,c1ccccc1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
APJYDQYYACXCRM,Tryptamine,c1ccc2[nH]ccc2c1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATHGHQPFGPMSJY,Spermidine,__ACYCLIC__ATHGHQPFGPMSJY,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AWDRATDZQPNJFN,Taurodeoxycholic acid,C1CCC2C(C1)CCC1C3CCCC3CCC21,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AYFVYJQAPQTCCC,L-Threonine,__ACYCLIC__AYFVYJQAPQTCCC,8,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BKAYIFDRRZZKNF,Acetylcarnosine,c1c[nH]cn1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BOWVQLFMWHZBEF,N-Oleoylethanolamine,__ACYCLIC__BOWVQLFMWHZBEF,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
BTCSSZJGUNDROE,gamma-Aminobutyric acid,__ACYCLIC__BTCSSZJGUNDROE,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
