case_id,direct_class,seeds_with_correct_on_front,seeds_with_retained_correct,independent_selection_count,independent_representative_expression,representative_correct,matches_sealed_selection_count,matches_sealed_representative_expression,valid,invalid_reason,admissibility
PB|held_out|F01|r000,LOST_IN_CROSS_SEED,16,7,11,sqrt(x0) * 0.062147498,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r001,LOST_IN_CROSS_SEED,18,14,1,sqrt(x1 + (x0 * 0.006731934)) + -0.45119894,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r002,SUCCESS,11,8,1,((x0 * 0.0051254034) + (x1 + 0.8908386)) / 2.7648299,True,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r003,LOST_IN_CROSS_SEED,20,8,5,sqrt(x0 / 255.70537),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r004,LOST_IN_CROSS_SEED,19,10,3,sqrt(x0) * 0.06539702,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r005,SUCCESS,18,16,1,(0.0020338944 / inv(x0)) + ((x1 + 0.7706935) * 0.421751),True,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r006,LOST_IN_CROSS_SEED,16,8,3,sqrt(x0) * 0.058900516,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r007,LOST_IN_CROSS_SEED,16,9,6,sqrt(x0 / 255.69539),False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r008,LOST_IN_CROSS_SEED,16,12,5,sqrt(x0) * 0.062538885,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r009,LOST_IN_CROSS_SEED,19,7,9,sqrt(x0) * 0.061873965,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r010,LOST_IN_CROSS_SEED,12,8,2,sqrt(x0) * 0.06344556,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F01|r011,LOST_IN_CROSS_SEED,16,7,9,sqrt(x0) * 0.059104037,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r000,LOST_IN_RETENTION,15,0,23,sqrt(x0) * 0.06344317,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r001,LOST_IN_RETENTION,16,0,28,x1 + 0.6024689,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r002,LOST_IN_RETENTION,17,0,22,x0 * 0.0040673167,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r003,LOST_IN_RETENTION,15,0,18,sqrt(x0) * 0.06390331,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r004,LOST_IN_CROSS_SEED,7,2,27,x1 + 0.6060744,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r005,LOST_IN_RETENTION,17,0,19,x0 * 0.0041404516,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r006,LOST_IN_RETENTION,13,0,16,x1 + 0.61448175,False,True,True,True,,DECISION_INADMISSIBLE
PB|held_out|F02|r007,LOST_IN_CROSS_SEED,14,1,23,sqrt(x0) * 0.06497999,False,True,True,True,,DECISION_INADMISSIBLE
