bafg_key,bafg_formula,bafg_in_msg15_any_route,bafg_any_record_in_2023_11,msg_parent_key,msg_formula,msg_rows_ce70_150,msg_distinct_ce70_150,same_formula,msg_key_is_other_bafg_key,msg_folds
AACVULYSNJAKEQ,C7H5NOS,True,True,DMSMPAJRVJJAGA,C7H5NOS,8,8,True,True,train
AACVULYSNJAKEQ,C7H5NOS,True,True,FLFWJIBUZQARMD,C7H5NOS,1,1,True,True,train
AACVULYSNJAKEQ,C7H5NOS,True,True,YEDUAINPPJYDJZ,C7H5NOS,5,5,True,True,train
AJRJPORIQGYFMT,C20H23N,True,True,IZJZLXQHMWUCIC,C20H23N,9,9,True,True,train
AJRJPORIQGYFMT,C20H23N,True,True,KRMDCWKBEZIMAB,C20H23N,9,9,True,True,train
APJYDQYYACXCRM,C10H12N2,True,True,JIVZKJJQOZQXQB,C10H12N2,6,6,True,True,train
APJYDQYYACXCRM,C10H12N2,True,True,LCBWEMRQKBKAEN,C10H12N2,2,2,True,True,train
BBZBYWMNNPPFKA,C9H13NO2,True,True,JZEHWMUIAKALDN,C9H13NO2,9,9,True,True,train
BFZHCUBIASXHPK,C21H30O3,True,True,DBPWSSGDRRHUNT,C21H30O3,2,2,True,True,train
BGRJTUBHPOOWDU,C15H23N3O4S,True,True,IOYNQIMAUDJVEI,C17H24ClNO4,8,8,False,True,test
BOSMZFBHAYFUBJ,C21H21O4P,True,True,JJXNVYMIYBNZQX,C21H21O4P,9,9,True,True,train
BPMVRAQIQQEBLN,C11H10N4O4,False,True,OVGGLBAWFMIPPY,C11H10N4O4,3,3,True,False,train
BQXQGZPYHWWCEB,C18H22N2O2,True,True,UBMGKRIXKUIXFQ,C18H22N2O2,9,9,True,True,train
CPJSUEIXXCENMM,C10H13NO2,True,True,NGBBVGZWCFBOGO,C10H13NO2,4,4,True,True,train
CPJSUEIXXCENMM,C10H13NO2,True,True,YOZNZNZSJNNALS,C10H13NO2,8,8,True,True,train
CTRLABGOLIVAIY,C15H12N2O2,True,True,QQCFBZCATDIWTH,C15H12N2O2,8,8,True,True,train
CTRLABGOLIVAIY,C15H12N2O2,True,True,VPZIYMMSJFWLSP,C15H12N2O2,7,7,True,True,train
CTRLABGOLIVAIY,C15H12N2O2,True,True,ZRWWEEVEIOGMMT,C15H12N2O2,9,9,True,True,train
CUKXSBOAIJILRY,C14H23NO3,True,True,HYRRKPFGZHWUPQ,C14H23NO3,9,9,True,True,train
CWJSHJJYOPWUGX,C10H12ClNO2,True,True,KPYSYYIEGFHWSV,C10H12ClNO2,6,6,True,True,train
CXOFVDLJLONNDW,C15H12N2O2,True,True,CTRLABGOLIVAIY,C15H12N2O2,7,7,True,True,train
CXOFVDLJLONNDW,C15H12N2O2,True,True,QQCFBZCATDIWTH,C15H12N2O2,8,8,True,True,train
CXOFVDLJLONNDW,C15H12N2O2,True,True,VPZIYMMSJFWLSP,C15H12N2O2,7,7,True,True,train
CXOFVDLJLONNDW,C15H12N2O2,True,True,ZRWWEEVEIOGMMT,C15H12N2O2,9,9,True,True,train
CYQFCXCEBYINGO,C21H30O2,True,True,RJKFOVLPORLFTN,C21H30O2,1,1,True,True,train
DBPWSSGDRRHUNT,C21H30O3,True,True,BFZHCUBIASXHPK,C21H30O3,3,3,True,True,train
DCOPUUMXTXDBNB,C14H11Cl2NO2,True,True,SBDNJUWAMKYJOX,C14H11Cl2NO2,9,9,True,True,train
DFJVUWAHTQPQCV,C13H22N4O4S,True,True,SKHXRNHSZTXSLP,C13H22N4O4S,6,6,True,True,val
DMSMPAJRVJJAGA,C7H5NOS,True,True,AACVULYSNJAKEQ,C7H5NOS,8,8,True,True,train
DMSMPAJRVJJAGA,C7H5NOS,True,True,FLFWJIBUZQARMD,C7H5NOS,1,1,True,True,train
DMSMPAJRVJJAGA,C7H5NOS,True,True,YEDUAINPPJYDJZ,C7H5NOS,5,5,True,True,train
DUEPRVBVGDRKAG,C12H15NO3,True,True,PXXLQQDIFVPNMP,C12H15NO3,9,9,True,True,train
FLFWJIBUZQARMD,C7H5NOS,True,True,AACVULYSNJAKEQ,C7H5NOS,8,8,True,True,train
FLFWJIBUZQARMD,C7H5NOS,True,True,DMSMPAJRVJJAGA,C7H5NOS,8,8,True,True,train
FLFWJIBUZQARMD,C7H5NOS,True,True,YEDUAINPPJYDJZ,C7H5NOS,5,5,True,True,train
FRZJZRVZZNTMAW,C12H17NO2,True,True,PVXVWWANJIWJOO,C12H17NO2,9,9,True,True,train
FSDBXQYHHCUEIE,C10H9NO2,True,True,GLNDAGDHSLMOKX,C10H9NO2,2,2,True,True,train
FZUGPQWGEGAKET,C11H15NO2,True,True,SHXWCVYOXRDMCX,C11H15NO2,7,7,True,True,train
GMSNIKWWOQHZGF,C6H6N4O2,True,True,DHNIKYWYTSMDDA,C6H6N4O2,5,5,True,True,train
HAORKNGNJCEJBX,C14H15N3,True,True,PFRYFZZSECNQOL,C14H15N3,2,2,True,True,train
HBOMLICNUCNMMY,C10H13N5O4,True,True,OIRDTQYFTABQOQ,C10H13N5O4,3,3,True,True,train
HCRWJJJUKUVORR,C8H15N5S,True,True,MWWBDLRPMWTLRX,C8H15N5S,1,1,True,True,train
HPOCGNHBIFZCAN,C13H16N4O3,True,True,HWBPOLWLLFXEJY,C13H16N4O3,2,2,True,True,train
HRKAMJBPFPHCSD,C12H27O4P,True,True,METKIMKYRPQLGS,C14H22N2O3,2,2,False,True,train
HUWXDEQWWKGHRV,C12H10Cl2N2,True,False,HOKKPVIRMVDYPB,C10H9ClN4S,1,1,False,True,train
IMPPGHMHELILKG,C8H11NO,True,False,MESJRHHDBDCQTH,C8H11NO,9,9,True,True,train
IOJWAAXMYYMGMG,C13H10N2O,False,True,XWXMGTIHBYFTIE,C13H10N2O,1,1,True,False,train
IOYNQIMAUDJVEI,C17H24ClNO4,True,True,BGRJTUBHPOOWDU,C15H23N3O4S,6,6,False,True,train
ISZQNKFXNXQTTF,C19H17F3N2O4,True,True,VGRRRBZVQNKSFY,C19H17F3N2O4,9,9,True,False,train
IWWWBRIIGAXLCJ,C28H30N2O3,True,False,DZNJMLVCIZGWSC,C28H30N2O3,2,2,True,True,train
IZJZLXQHMWUCIC,C20H23N,True,True,KRMDCWKBEZIMAB,C20H23N,9,9,True,True,train
JANBFCARANRIKJ,C18H26O4,False,False,FEFCILUKYGHITK,C18H26O4,9,9,True,True,train
JCYPECIVGRXBMO,C14H15N3,True,False,HAORKNGNJCEJBX,C14H15N3,9,9,True,True,train
JCYPECIVGRXBMO,C14H15N3,True,False,PFRYFZZSECNQOL,C14H15N3,2,2,True,True,train
JEFHGYSGNIFAEY,C17H29NO3S,False,True,CSPPKDPQLUUTND,C17H29NO3S,3,3,True,False,test
JIVZKJJQOZQXQB,C10H12N2,True,True,LCBWEMRQKBKAEN,C10H12N2,2,2,True,True,train
JJXNVYMIYBNZQX,C21H21O4P,True,True,BOSMZFBHAYFUBJ,C21H21O4P,9,9,True,True,train
JRBJSXQPQWSCCF,C14H16N2O2,True,True,NPUKDXXFDDZOKR,C14H16N2O2,8,8,True,True,train
JYBQTDHFCBQLHP,C14H20N2O,True,True,OOAFBZIRZNUNQV,C14H20N2O,9,9,True,True,train
JYFHYPJRHGVZDY,C8H19O4P,True,True,ZBYDMKPFQILQOD,C10H14N2O3,4,4,False,True,train
JZEHWMUIAKALDN,C9H13NO2,True,True,BBZBYWMNNPPFKA,C9H13NO2,4,4,True,True,train
KPYSYYIEGFHWSV,C10H12ClNO2,True,True,CWJSHJJYOPWUGX,C10H12ClNO2,1,1,True,True,train
KRMDCWKBEZIMAB,C20H23N,True,True,IZJZLXQHMWUCIC,C20H23N,9,9,True,True,train
KYYIDSXMWOZKMP,C16H25NO2,True,True,MKAFOJAJJMUXLW,C16H25NO2,5,5,True,True,train
LCBWEMRQKBKAEN,C10H12N2,True,True,JIVZKJJQOZQXQB,C10H12N2,6,6,True,True,train
