case_id,family_id,variant,truth_family,truth_support,truth_relationship,g2_event_sealed,g2_success,first_failure_point,first_failure_stage_coarse,root_cause_class,first_failure_detail,grammar_representable,classifier_label_reachable,operators_missing_from_grammar,seeds_completed,seeds_parsed,seeds_with_support_match,seeds_with_family_match,seeds_with_g2_success,seeds_unevaluable,truth_equivalent_ever_generated,best_truth_equivalent_seed_share,identity_class_count,identity_classes_holding_correct,largest_identity_class_size,selection_count_sealed,selection_count_replayed,cross_seed_replay_reproduces_seal,survived_cross_seed_selection,label_rule_would_have_won,label_class_count,label_winner_size,oracle_any_seed_correct,winning_class_support_status,winning_class_family_status,sealed_support_status,sealed_family_status,sealed_discovered_family,sealed_discovered_expression,modal_discovered_family,parser_lost_candidate,mean_valid_r2_correct_seeds,mean_valid_r2_incorrect_seeds,mean_complexity_correct_seeds,mean_complexity_incorrect_seeds,delta_valid_r2_correct_minus_incorrect,delta_complexity_correct_minus_incorrect,coefficient_fit_indicator_winning_class_distinct_coef_vectors,winning_class_distinct_expression_strings,a1_status,acceptance_status,acceptance_gate_reached,valid_r2,complexity,descriptor_sd,mass_range_ratio
PB|held_out|F01|r000,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,7/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 11 votes),True,True,,30,30,16,7,7,9,True,0.23333333333333334,20,7,11,11,11,True,False,False,3,14,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.062147498,mass_power,False,0.9996863663115914,0.935938688903749,9.714285714285714,6.6521739130434785,0.06374767740784237,3.062111801242235,8,8,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.8904754897774495,4,0.17918707460317101,4.522091678493538
PB|held_out|F01|r001,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),UNEVALUABLE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,14/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 1 votes),True,True,,29,29,29,14,14,16,True,0.4666666666666667,29,14,1,1,1,True,False,False,2,15,True,MATCH,FAMILY_UNRESOLVED,MATCH,FAMILY_UNRESOLVED,,sqrt(x1 + (x0 * 0.006731934)) + -0.45119894,None,False,0.9973196361198474,0.994143624530493,8.714285714285714,10.0,0.0031760115893544327,-1.2857142857142865,1,1,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.9694673054601454,8,0.22253205518729788,4.110879989587676
PB|held_out|F01|r002,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),SUCCESS,True,NONE,NONE,NONE_SUCCESS,case is a G2 success,True,True,,30,30,28,8,8,19,True,0.26666666666666666,30,8,1,1,1,True,True,False,4,19,True,MATCH,MATCH,MATCH,MATCH,mass_affine_descriptor,((x0 * 0.0051254034) + (x1 + 0.8908386)) / 2.7648299,None,False,0.9673288890258609,0.9685389739516512,10.0,9.818181818181818,-0.0012100849257903334,0.18181818181818166,1,1,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.996370040318797,9,0.2044653914043467,5.922691787879838
PB|held_out|F01|r003,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,8/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 5 votes),True,True,,30,30,24,8,8,16,True,0.26666666666666666,26,8,5,5,5,True,False,False,3,16,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0 / 255.70537),None,False,0.9993592428515514,0.9563184280535464,8.75,9.363636363636363,0.043040814798005034,-0.6136363636363633,5,5,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.8599393320157457,4,0.19161499132564622,3.447669272589205
PB|held_out|F01|r004,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,10/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 3 votes),True,True,,30,30,23,10,10,12,True,0.3333333333333333,28,10,3,3,3,True,False,False,4,12,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.06539702,None,False,0.9982803889135919,0.974273931137039,9.4,8.5,0.02400645777655297,0.9000000000000004,2,2,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.9024777065761177,4,0.2167749465909128,5.001595010980741
PB|held_out|F01|r005,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),SUCCESS,True,NONE,NONE,NONE_SUCCESS,case is a G2 success,True,True,,30,30,29,16,16,12,True,0.5333333333333333,30,16,1,1,1,True,True,True,4,16,True,MATCH,MATCH,MATCH,MATCH,mass_affine_descriptor,(0.0020338944 / inv(x0)) + ((x1 + 0.7706935) * 0.421751),mass_affine_descriptor,False,0.9982527400934527,0.9841826517682922,9.0625,11.142857142857142,0.014070088325160435,-2.0803571428571423,1,1,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.9980302139967067,10,0.16574131356725272,4.563319723021405
PB|held_out|F01|r006,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,8/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 3 votes),True,True,,30,30,25,8,8,16,True,0.26666666666666666,27,7,3,3,3,True,False,False,4,16,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.058900516,None,False,0.9987993787015467,0.978700270062841,9.25,8.727272727272727,0.020099108638705676,0.5227272727272734,2,2,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.893642733632896,4,0.1920718742507448,4.040354703844936
PB|held_out|F01|r007,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,9/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 6 votes),True,True,,30,30,23,9,9,14,True,0.3,24,9,6,6,6,True,False,False,3,14,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0 / 255.69539),None,False,0.9982001804220517,0.8770548265510728,8.666666666666666,8.523809523809524,0.12114535387097891,0.14285714285714235,5,5,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.6364309553965466,4,0.21725505233344689,6.051089674930312
PB|held_out|F01|r008,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_CROSS_SEED_IDENTITY,SELECTION_VOTING,CANONICALIZATION_EQUIVALENCE_FAILURE,12/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 5 votes),True,True,,30,30,24,12,12,12,True,0.4,26,12,5,5,5,True,False,True,5,12,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.062538885,None,False,0.999686943328505,0.9322251417361903,8.333333333333334,8.055555555555555,0.06746180159231474,0.27777777777777857,2,2,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.8268688620412761,4,0.20559328344716285,6.107158064977455
PB|held_out|F01|r009,F01,F01,mass_affine_descriptor,descriptor|mass,sqrt(mass) * (1 + coefficient * descriptor),FAILURE,False,SELECTION_WITHIN_SEED_RETENTION,SELECTION_VOTING,SELECTION_FAILURE,7/30 seeds produced a G2-correct candidate but the largest identity class was a different expression (winner held 9 votes),True,True,,30,30,14,7,7,7,True,0.23333333333333334,21,7,9,9,9,True,False,False,3,16,True,MISMATCH,MISMATCH,MISMATCH,MISMATCH,mass_power,sqrt(x0) * 0.061873965,mass_power,False,0.9993318645183027,0.9519107150860684,8.857142857142858,6.826086956521739,0.0474211494322343,2.0310559006211184,6,6,M0_NOT_REJECTED,REJECTED_UNSTABLE,stability,0.9182714544381265,4,0.21317295384518695,4.48401120434208
