k,n_rows,instruments,adducts,folds,sim_rows,ce_nonnull_rows
AAKHGLJWUOZNTQ,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
AQZHBCDRWFMXIN,3,NA;Orbitrap;QTOF,[M+H]+,train,1,1
BMRVNZZVDSVOQG,1,Orbitrap,[M+H]+,train,0,0
BPPPHUNQHQJHQW,1,Orbitrap,[M+H]+,train,0,0
BQHHNAPTXQOPBW,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
BWNCKEBBYADFPQ,5,Orbitrap,[M+H]+,train,5,5
BXLGBRLDRRZQKR,2,NA;Orbitrap,[M+H]+,train,0,0
CADNMISJDLVPCK,2,NA;Orbitrap,[M+H]+,train,0,0
CEBXXEKPIIDJHL,15,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,0,0
CGRCGRBHNKRILW,2,NA;Orbitrap,[M+H]+,train,0,0
CPHXGYQLOSNELY,3,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
CUCUKLJLRRAKFN,4,Orbitrap,[M+H]+;[M+Na]+,val,0,0
DDUHZTYCFQRHIY,43,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,23,23
DGXLEDCXMIJNPJ,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
DHDSCKPFZHKEJM,4,NA;Orbitrap;QTOF,[M+H]+,val,0,0
DNVPQKQSNYMLRS,17,Orbitrap,[M+H]+;[M+Na]+,train,0,0
FFWOKTFYGVYKIR,27,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,2,2
FNJKTDQIJKLZGZ,2,NA;Orbitrap,[M+H]+,train,0,0
FOKAHYDSEWGOHN,2,NA;Orbitrap,[M+H]+,train,0,0
FUCWJKJZOHOLEO,3,NA;Orbitrap;QTOF,[M+H]+,train,0,0
FYPCEUKJORJHDL,2,NA;Orbitrap,[M+H]+,train,0,0
GHBZVNHEVHMKOB,2,NA;Orbitrap,[M+H]+,train,0,0
HEMSJKZDHNSSEW,2,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
HETZRHDDRHBPKX,2,NA;Orbitrap,[M+H]+,train,0,0
HEULMVKOOVHXME,2,NA;Orbitrap,[M+H]+,train,0,0
HEZSUFJPGFDKIG,2,NA;Orbitrap,[M+H]+,train,0,0
HMJJWFFZRCLIDN,1,Orbitrap,[M+Na]+,train,0,0
IBSRGCBHIASQMQ,2,NA;Orbitrap,[M+H]+,train,0,0
IDZVZCQOFFSQMO,2,NA;Orbitrap,[M+H]+,train,0,0
IWYVMUDIEOXASM,2,NA;Orbitrap,[M+H]+,train,0,0
IXEVSIMCIWOSQO,2,NA;Orbitrap,[M+H]+,train,0,0
JHEWMLHQNRHTQX,13,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,6,8
JSLBEJMNMZJONS,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
JWSADSZPLGCVPA,2,NA;Orbitrap,[M+H]+,train,0,0
KQTXUHHOWJUFOZ,2,NA;Orbitrap,[M+H]+,train,0,0
KVTYWHGIZSCFLG,7,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,2,2
KYSXDEQQOVVLIN,2,NA;Orbitrap,[M+H]+,train,0,0
LCSDQFNUYFTXMT,41,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,4,4
LGCPAGYPUFWEBQ,2,NA;Orbitrap,[M+H]+,train,0,0
LOGCRVAWKCZXQM,1,Orbitrap,[M+H]+,train,0,0
LPUOVEFMUOQBFV,2,NA;Orbitrap,[M+H]+,train,0,0
MAVUFYZBQWGXHD,2,NA;Orbitrap,[M+H]+,train,0,0
MIJKZXWOOXIEEU,10,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,5,6
MQSXZQXHIJMNAF,6,NA;Orbitrap,[M+H]+,val,4,4
MYBIAUJNAXMGTF,1,QTOF,[M+H]+,train,0,0
MZWQZYDNVSKPPF,2,NA;Orbitrap,[M+H]+,train,0,0
NFZJAYYORNVZNI,3,NA;QTOF,[M+H]+,train,0,0
NMKBRSYSHBPUPY,1,QTOF,[M+H]+,train,0,0
OFIWISPGMYFUGQ,2,NA;Orbitrap,[M+H]+,train,0,0
OMZRMXULWNMRAE,3,Orbitrap,[M+H]+,train,0,0
PDICCECAPKBDBB,1,Orbitrap,[M+H]+,test,0,0
PKLMGLZTAHCGBQ,2,NA;Orbitrap,[M+H]+,train,0,0
QFDPVUTXKUGISP,18,NA;Orbitrap,[M+H]+,test,16,16
QQTKVXCQLZIJPP,2,NA;Orbitrap,[M+H]+,train,0,0
QUCZMUVAQHIOID,3,QTOF,[M+H]+,train,3,3
QZYZPZAPRHESDA,2,NA;Orbitrap,[M+H]+,train,0,0
QZZMDINWSWWNKM,4,NA;Orbitrap,[M+H]+;[M+Na]+,train,0,0
RCLFRVZNHRFQGE,2,NA;QTOF,[M+H]+,train,0,0
RHMXXJGYXNZAPX,46,NA;Orbitrap;QTOF,[M+H]+;[M+Na]+,train,16,16
