case_id,family_id,variant,g3_event,is_violation,violation_cause,root_cause_class,mechanism,unsafe_structural_acceptance,acceptance_status,acceptance_gate_reached,a1_status_sealed,a1_status_recomputed,a1_blocking_detectors,shares_g1_root_cause,effective_support,discovered_expression,selection_count,valid_r2,complexity,mu_max,missing_cell_fraction
PB|held_out|F07|r000,F07,F07,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_UNSTABLE),False,REJECTED_UNSTABLE,stability,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,(x0 * 0.0025569934) + 0.30628434,7,0.9632031015987842,5,0.9999,0.0
PB|held_out|F07|r001,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.064275146,3,0.5505211471015617,4,0.9999,0.0
PB|held_out|F07|r002,F07,F07,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_UNSTABLE),False,REJECTED_UNSTABLE,stability,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,(x0 * 0.0025952032) + 0.32508585,2,0.982759983068447,5,0.9999,0.0
PB|held_out|F07|r003,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.06372184,25,0.9634538112789384,4,0.9834538000925814,0.0
PB|held_out|F07|r004,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.062249828,24,0.9005381174636303,4,0.9487343124427629,0.0
PB|held_out|F07|r005,F07,F07,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_FALSIFICATION),False,REJECTED_FALSIFICATION,falsification,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,sqrt(x0) * 0.060155917,22,0.9642225701155418,4,0.9364927260556488,0.0
PB|held_out|F07|r006,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.059497666,26,0.9524331676474647,4,0.9740349680401204,0.0
PB|held_out|F07|r007,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,sqrt(x0) * 0.05846899,24,0.9516159821122253,4,0.9864112287457459,0.0
PB|held_out|F07|r008,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,(x0 * 0.0026371102) - -0.25825378,2,0.9715585173585681,5,0.9887690120208146,0.0
PB|held_out|F07|r009,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,0.06264128 * sqrt(x0),25,0.9490678051741198,4,0.9999,0.0
PB|held_out|F07|r010,F07,F07,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: mass-only acceptance permitted by the variant,False,STRUCTURAL_ACCEPTED,all_passed,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,sqrt(x0) * 0.062034365,21,0.9337404398974523,4,0.9657291626908308,0.0
PB|held_out|F07|r011,F07,F07,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,(x0 * 0.0028131874) + 0.29267603,4,0.9515994961040177,5,0.9917587832854916,0.0
PB|held_out|F19|r000,F19A,F19A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,descriptor|descriptor2,square(x1 - x2) + 1.0036485,4,-0.16880333434469885,6,0.9999,0.0
PB|held_out|F19|r001,F19B,F19B,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_UNSTABLE),False,REJECTED_UNSTABLE,stability,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,sqrt(x0) * 0.06502722,17,0.920298439864822,4,0.9892754235170105,0.0
PB|held_out|F19|r002,F19C,F19C,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M2|M3,True,descriptor2,x2 - -1.0825117,2,-0.1536531013135698,3,0.9793975036083628,0.0
PB|held_out|F19|r003,F19A,F19A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,correlated_distractor|distractor,sqrt(sqrt(sqrt(sqrt(sqrt(square((x4 - x3) / (square(x3) + -0.47698823))))))),1,-0.12008030368534728,14,0.9999,0.0
PB|held_out|F19|r004,F19B,F19B,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,mass,x0 * 0.0036266446,27,0.7197773720028899,3,0.9823612651144216,0.0
PB|held_out|F19|r005,F19C,F19C,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: legitimate non-acceptance (REJECTED_BELOW_NULL),False,REJECTED_BELOW_NULL,null_threshold,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,descriptor|distractor|mass,sqrt(log(square(square((x3 / x1) * -5.6164536) - x0))) + -1.8651328,1,-0.16325433111843024,13,0.9843789055535481,0.0
PB|held_out|F19|r006,F19A,F19A,VIOLATION,True,A1_INDETERMINATE,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; structural_acceptance gate 1 maps every A1 indeterminate state to UNEVALUABLE, and g3_contract charges UNEVALUABLE as a violation by design",False,UNEVALUABLE,a1_adequacy,BOUNDARY_LIMITED,BOUNDARY_LIMITED,M3,True,distractor,1.0351951 - (x3 * -0.07249689),1,0.0009233335070968351,5,0.9839643246199468,0.0
PB|held_out|F19|r007,F19B,F19B,SAFE,False,NONE,EXPECTED_NEGATIVE_CONTROL,evaluable and safe: mass-only acceptance permitted by the variant,False,STRUCTURAL_ACCEPTED,all_passed,M0_NOT_REJECTED,M0_NOT_REJECTED,,False,mass,sqrt(x0) * 0.06526073,27,0.8207209848097037,4,0.9669431541972661,0.0
