key,name,scaffold_group,n_records,labs,ce_strings,itypes,max_ce_within_lab,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
AAWZDTNXLSGCEK,quinic acid,C1CCCCC1,13,"MC05,MC10,MC20,MC23","-10, -35, -60V|10|100|15 / 50|20|30|40|60","LC-ESI-ITFT,LC-ESI-QTOF",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ABPDEYSUVLXYCB,Abietospiran,O=C1CCC2(CCC3(CCC4C3CCC35CC36CCCCC6CCC45)O2)O1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABVCUBUIXWJYSE,Pelargonidin 3-glucoside,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1,1,MC11,50eV,LC-ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ABXZOXDTHTTZJW,Tetrahydropapaveroline,c1ccc(CC2NCCc3ccccc32)cc1,1,MC07,20-40eV,LC-ESI-QTOF,0,True,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
ACFIXJIJDZMPPO,NADPH,O=[PH](OCC1CCC(N2C=CCC=C2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,6,MC10,10|100|15 / 50|30|60,LC-ESI-QTOF,4,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False
ACKWLJAZBNWJMM,3-Glc-Glc-28-Glc-Medicagenic acid,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCC(OC5OCCCC5OC5CCCCO5)CC4CCC3C1CC2,1,MC08,30 eV,ESI-QTOF,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
ACRIYYKEWCXQOS,Isovitexin 2''-O-arabinoside,O=c1cc(-c2ccccc2)oc2ccc(C3OCCCC3OC3CCCCO3)cc12,1,MC07,20-40eV,LC-ESI-QTOF,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ACWBBAGYTKWBCD,3-Chlorotyrosine,c1ccccc1,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ADFCQWZHKCXPAJ,Equol,c1ccc(C2COc3ccccc3C2)cc1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ADVPTQAUNPRNPO,3-Sulfinoalanine,__ACYCLIC__ADVPTQAUNPRNPO,1,MC20,100,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
AEMFNILZOJDQLW,Androstenedione,O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,1,MC22,30 eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False
AEMOLEFTQBMNLQ,D-Glucuronic acid,C1CCOCC1,4,"MC02,MC23",0.6458333|20|40|6.0000000,"ESI-TOF,LC-ESI-QTOF",2,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AEPVLLKGEBHLEJ,PC(16:0/18:1),__ACYCLIC__AEPVLLKGEBHLEJ,15,MC10,10|100|15 / 50|30|60,LC-ESI-QTOF,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AERBNCYCJBRYDG,Phytosphingosine,__ACYCLIC__AERBNCYCJBRYDG,1,MC07,20-40eV,LC-ESI-QTOF,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AEUCYCQYAUFAKH,"1,2-dieicosenoyl-sn-glycero-3-phosphocholine",__ACYCLIC__AEUCYCQYAUFAKH,2,MC02,0.6458333|6.0000000,ESI-TOF,2,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
AFENDNXGAFYKQO,2-Hydroxybutyric acid,__ACYCLIC__AFENDNXGAFYKQO,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False
AFHJQYHRLPMKHU,Aloin,O=C1c2ccccc2C(C2CCCCO2)c2ccccc21,2,MC21,35|35.00,LC-ESI-QTOF,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AFSDNFLWKVMVRB,Ellagic acid,O=c1oc2cccc3c(=O)oc4cccc1c4c23,6,"MC02,MC21,MC25",0.3|0.6458333|15.07 / 15.08|15.23|6.0000000,"ESI-TOF,LC-ESI-ITFT,LC-ESI-QTOF",2,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AGBQKNBQESQNJD,Lipoic acid,C1CSSC1,2,MC10,20 / 50,LC-ESI-QTOF,0,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AGIQIKMGJVLKMA,Carabrone,C=C1C(=O)OC2CC3CC3CC12,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
