checkpoint,split_scope,source_library,instrument,raw_nce,nce_times_mz_over_500,other_conversion,unknown_ambiguous,native_ev_not_nce,excluded_or_missing,total_rows,resolved_by_code_provenance,resolved_by_numeric_test,resolved_by_instrument_semantics,unresolved,s1_raw_nce_if_msnlib_probable_accepted
iceberg21_msg_simulation_gen,train,ALL,ALL,19045,21982,22,23689,34603,0,99341,19045,22004,34603,23689,26264
iceberg21_msg_simulation_gen,train,ALL,Orbitrap,19045,21982,22,23689,0,0,64738,19045,22004,0,23689,26264
iceberg21_msg_simulation_gen,train,ALL,QTOF,0,0,0,0,34603,0,34603,0,0,34603,0,0
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:MCEBIO,ALL,9717,0,0,0,0,0,9717,9717,0,0,0,9717
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:MCEBIO,Orbitrap,9717,0,0,0,0,0,9717,9717,0,0,0,9717
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:MCESCAF,ALL,6321,0,0,0,0,0,6321,6321,0,0,0,6321
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:MCESCAF,Orbitrap,6321,0,0,0,0,0,6321,6321,0,0,0,6321
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:NIHNP,ALL,162,0,0,0,0,0,162,162,0,0,0,162
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:NIHNP,Orbitrap,162,0,0,0,0,0,162,162,0,0,0,162
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:OTAVAPEP,ALL,2649,0,0,0,0,0,2649,2649,0,0,0,2649
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:OTAVAPEP,Orbitrap,2649,0,0,0,0,0,2649,2649,0,0,0,2649
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),ALL,114,0,0,0,0,0,114,114,0,0,0,114
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;MCESCAF),Orbitrap,114,0,0,0,0,0,114,114,0,0,0,114
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;NIHNP),ALL,43,0,0,0,3,0,46,43,0,3,0,43
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;NIHNP),Orbitrap,43,0,0,0,0,0,43,43,0,0,0,43
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;NIHNP),QTOF,0,0,0,0,3,0,3,0,0,3,0,0
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),ALL,7,0,0,0,0,0,7,7,0,0,0,7
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCEBIO;OTAVAPEP),Orbitrap,7,0,0,0,0,0,7,7,0,0,0,7
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCESCAF;NIHNP),ALL,3,0,0,0,0,0,3,3,0,0,0,3
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCESCAF;NIHNP),Orbitrap,3,0,0,0,0,0,3,3,0,0,0,3
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),ALL,12,0,0,0,0,0,12,12,0,0,0,12
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:multiple(MCESCAF;OTAVAPEP),Orbitrap,12,0,0,0,0,0,12,12,0,0,0,12
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:unmatched,ALL,17,0,0,6,0,0,23,17,0,0,6,17
iceberg21_msg_simulation_gen,train,MSnLib_v1.0:unmatched,Orbitrap,17,0,0,6,0,0,23,17,0,0,6,17
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:MCEBIO,ALL,0,0,0,3589,0,0,3589,0,0,0,3589,3589
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:MCEBIO,Orbitrap,0,0,0,3589,0,0,3589,0,0,0,3589,3589
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:MCESCAF,ALL,0,0,0,9,0,0,9,0,0,0,9,9
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:MCESCAF,Orbitrap,0,0,0,9,0,0,9,0,0,0,9,9
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:NIHNP,ALL,0,0,0,2856,0,0,2856,0,0,0,2856,2856
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:NIHNP,Orbitrap,0,0,0,2856,0,0,2856,0,0,0,2856,2856
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),ALL,0,0,0,99,0,0,99,0,0,0,99,99
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF),Orbitrap,0,0,0,99,0,0,99,0,0,0,99,99
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF;NIHNP),ALL,0,0,0,12,0,0,12,0,0,0,12,12
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;MCESCAF;NIHNP),Orbitrap,0,0,0,12,0,0,12,0,0,0,12,12
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),ALL,0,0,0,654,0,0,654,0,0,0,654,654
iceberg21_msg_simulation_gen,train,MSnLib_v1.0_probable:multiple(MCEBIO;NIHNP),Orbitrap,0,0,0,654,0,0,654,0,0,0,654,654
iceberg21_msg_simulation_gen,train,MassBank_or_MoNA,ALL,0,21982,22,16464,34600,0,73068,0,22004,34600,16464,0
iceberg21_msg_simulation_gen,train,MassBank_or_MoNA,Orbitrap,0,21982,22,16464,0,0,38468,0,22004,0,16464,0
iceberg21_msg_simulation_gen,train,MassBank_or_MoNA,QTOF,0,0,0,0,34600,0,34600,0,0,34600,0,0
iceberg21_msg_simulation_gen,val,ALL,ALL,5792,884,0,1535,1523,0,9734,5792,884,1523,1535,6348
iceberg21_msg_simulation_gen,val,ALL,Orbitrap,5792,884,0,1535,0,0,8211,5792,884,0,1535,6348
iceberg21_msg_simulation_gen,val,ALL,QTOF,0,0,0,0,1523,0,1523,0,0,1523,0,0
iceberg21_msg_simulation_gen,val,MSnLib_v1.0:MCEBIO,ALL,2882,0,0,0,0,0,2882,2882,0,0,0,2882
iceberg21_msg_simulation_gen,val,MSnLib_v1.0:MCEBIO,Orbitrap,2882,0,0,0,0,0,2882,2882,0,0,0,2882
