CASE_ID,FROZEN_CLASS,VALID,DETAIL,admissibility
PB|held_out|F01|r000,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=7;representative_state=INCORRECT;unresolved_rows=2/327;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r001,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=18;seeds_with_retained_correct=14;representative_state=INCORRECT;unresolved_rows=1/321;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r002,SUCCESS,True,seeds_with_correct_on_front=11;seeds_with_retained_correct=8;representative_state=CORRECT;unresolved_rows=0/324;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r003,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=20;seeds_with_retained_correct=8;representative_state=INCORRECT;unresolved_rows=0/323;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r004,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=19;seeds_with_retained_correct=10;representative_state=INCORRECT;unresolved_rows=9/339,DECISION_INADMISSIBLE
PB|held_out|F01|r005,SUCCESS,True,seeds_with_correct_on_front=18;seeds_with_retained_correct=16;representative_state=CORRECT;unresolved_rows=0/336;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r006,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=8;representative_state=INCORRECT;unresolved_rows=1/322;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r007,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=9;representative_state=INCORRECT;unresolved_rows=0/324;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r008,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=12;representative_state=INCORRECT;unresolved_rows=0/319;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r009,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=19;seeds_with_retained_correct=7;representative_state=INCORRECT;unresolved_rows=0/336;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r010,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=12;seeds_with_retained_correct=8;representative_state=INCORRECT;unresolved_rows=0/328;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F01|r011,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=7;representative_state=INCORRECT;unresolved_rows=0/315;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r000,LOST_IN_RETENTION,True,seeds_with_correct_on_front=15;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=0/365;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r001,LOST_IN_RETENTION,True,seeds_with_correct_on_front=16;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=2/379;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r002,LOST_IN_RETENTION,True,seeds_with_correct_on_front=17;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=0/375;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r003,LOST_IN_RETENTION,True,seeds_with_correct_on_front=15;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=3/371;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r004,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=7;seeds_with_retained_correct=2;representative_state=INCORRECT;unresolved_rows=1/380;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r005,LOST_IN_RETENTION,True,seeds_with_correct_on_front=17;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=0/367;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r006,LOST_IN_RETENTION,True,seeds_with_correct_on_front=13;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=0/374;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r007,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=14;seeds_with_retained_correct=1;representative_state=INCORRECT;unresolved_rows=5/347;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r008,LOST_IN_CROSS_SEED,True,seeds_with_correct_on_front=15;seeds_with_retained_correct=1;representative_state=INCORRECT;unresolved_rows=0/379;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r009,LOST_IN_RETENTION,True,seeds_with_correct_on_front=19;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=0/407;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
PB|held_out|F02|r010,LOST_IN_RETENTION,True,seeds_with_correct_on_front=13;seeds_with_retained_correct=0;representative_state=INCORRECT;unresolved_rows=1/379;uncapped_frozen_agrees=True,DECISION_INADMISSIBLE
