search_index,case_id,case_index,seed,seed_ordinal,expected_front_path
0,PB|held_out|F01|r000,0,2100002400,0,fronts/PB_held_out_F01_r000_seed2100002400.jsonl
1,PB|held_out|F01|r000,0,2100002401,1,fronts/PB_held_out_F01_r000_seed2100002401.jsonl
2,PB|held_out|F01|r000,0,2100002402,2,fronts/PB_held_out_F01_r000_seed2100002402.jsonl
3,PB|held_out|F01|r000,0,2100002403,3,fronts/PB_held_out_F01_r000_seed2100002403.jsonl
4,PB|held_out|F01|r000,0,2100002404,4,fronts/PB_held_out_F01_r000_seed2100002404.jsonl
5,PB|held_out|F01|r000,0,2100002405,5,fronts/PB_held_out_F01_r000_seed2100002405.jsonl
6,PB|held_out|F01|r000,0,2100002406,6,fronts/PB_held_out_F01_r000_seed2100002406.jsonl
7,PB|held_out|F01|r000,0,2100002407,7,fronts/PB_held_out_F01_r000_seed2100002407.jsonl
8,PB|held_out|F01|r000,0,2100002408,8,fronts/PB_held_out_F01_r000_seed2100002408.jsonl
9,PB|held_out|F01|r000,0,2100002409,9,fronts/PB_held_out_F01_r000_seed2100002409.jsonl
10,PB|held_out|F01|r000,0,2100002410,10,fronts/PB_held_out_F01_r000_seed2100002410.jsonl
11,PB|held_out|F01|r000,0,2100002411,11,fronts/PB_held_out_F01_r000_seed2100002411.jsonl
12,PB|held_out|F01|r000,0,2100002412,12,fronts/PB_held_out_F01_r000_seed2100002412.jsonl
13,PB|held_out|F01|r000,0,2100002413,13,fronts/PB_held_out_F01_r000_seed2100002413.jsonl
14,PB|held_out|F01|r000,0,2100002414,14,fronts/PB_held_out_F01_r000_seed2100002414.jsonl
15,PB|held_out|F01|r000,0,2100002415,15,fronts/PB_held_out_F01_r000_seed2100002415.jsonl
16,PB|held_out|F01|r000,0,2100002416,16,fronts/PB_held_out_F01_r000_seed2100002416.jsonl
17,PB|held_out|F01|r000,0,2100002417,17,fronts/PB_held_out_F01_r000_seed2100002417.jsonl
