precursorID,name,key,scaffold_group,parent_formal_charge,mh_mz,source,in_msg15_recorded_all,in_msg15_parent_all,in_muru_exposed_populations,in_muru_registry,in_study2_pop,in_comparator_pop,in_msnlib_9lib,scaffold_in_muru_exposed_populations,scaffold_in_muru_registry,scaffold_in_study2_pop,scaffold_in_comparator_pop,scaffold_in_msg15_all,name_route_in_msg15,name_key_matches_db,db_MH_in_hilicpos,in_mw_subjects,mw_subject_name
PM0000002,2-phenylethylalcohol,WRMNZCZEMHIOCP,c1ccccc1,0.0,123.080441407,db_smiles,False,False,False,True,False,False,True,True,True,False,False,True,False,,False,True,2-phenylethylalcohol
PM0000003,2-thiouracil,ZEMGGZBWXRYJHK,O=c1cc[nH]c(=S)[nH]1,0.0,129.011710215,db_smiles,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,2-thiouracil
PM0000008,5-Aminolevulinic acid,ZGXJTSGNIOSYLO,__ACYCLIC__ZGXJTSGNIOSYLO,0.0,132.065519615,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,5-Aminolevulinic acid
PM0000009,5-fluorouracil,GHASVSINZRGABV,O=c1cc[nH]c(=O)[nH]1,0.0,131.025132023,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,5-fluorouracil
PM0000011,a-Tochopherol,GVJHHUAWPYXKBD,c1ccc2c(c1)CCCO2,0.0,431.388357307,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,False,True,a-Tochopherol
PM0000012,a-Tochopherol acetate,ZAKOWWREFLAJOT,c1ccc2c(c1)CCCO2,0.0,473.3989219909999,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,a-Tochopherol acetate
PM0000013,Abacavir,MCGSCOLBFJQGHM,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,0.0,287.16148566299995,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Abacavir
PM0000015,Acamprosate,AFCGFAGUEYAMAO,__ACYCLIC__AFCGFAGUEYAMAO,0.0,182.048155299,db_smiles,True,True,False,True,False,False,True,False,True,False,False,True,,,True,True,Acamprosate
PM0000017,Acecainide,KEECCEWTUVWFCV,c1ccccc1,0.0,278.186303443,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Acecainide
PM0000018,Aceclofenac,MNIPYSSQXLZQLJ,c1ccc(Nc2ccccc2)cc1,0.0,354.029439723,db_smiles,True,True,False,True,False,False,True,True,True,False,False,True,,,True,True,Aceclofenac
