case_id,family_id,variant,truth_family,g1_success,first_failing_condition,failing_conditions,root_cause_class,mechanism,g_spearman,g_spearman_gate,spearman_pass,trajectory_mae,per_energy_mean_mae,trajectory_mae_ratio,trajectory_ratio_gate,trajectory_pass,a1_status_sealed,a1_status_recomputed,a1_status_reproduced,m0_accepted,a1_fired_detectors,a1_blocking_detectors,m1_evaluable,m1_practical_wins,m1_fired,m2_evaluable,m2_practical_wins,m2_fired,m3_evaluable,m3_practical_wins,m3_fired,min_evaluable_required,min_practical_wins_required,boundary_limited_compounds_m1,boundary_limited_compounds_m2,boundary_limited_compounds_m3,unresolved_compounds_m0_fit,unresolved_compounds_m1_fit,unresolved_compounds_m2_fit,unresolved_compounds_m3_fit,dominant_bound_hit,shape_a_lo,shape_a_hi,shape_amplitude,mu_max,scaffolds_train,scaffolds_test,compounds_train,compounds_test,observed_energies_min,missing_cell_fraction,mass_range_ratio,descriptor_sd,acceptance_status,acceptance_gate_reached
PB|held_out|F01|r000,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.0002942897217721477,0.051889947507840734,0.005671420687555708,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,3,False,30,3,False,30,0,False,24,20,0,0,0,0,0,0,0,,0.9416076721986184,0.31924874427824995,0.6223589279203685,0.9488457940024078,20,5,120,30,6,0.0,4.522091678493538,0.17918707460317101,REJECTED_UNSTABLE,stability
PB|held_out|F01|r001,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.0001688544761373432,0.03661582004152148,0.004611516987626282,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,4,False,30,5,False,30,3,False,24,20,0,0,0,0,0,0,0,,0.9723728910953571,0.3110562144419225,0.6613166766534346,0.9723728910953571,20,5,120,30,6,0.0,4.110879989587676,0.22253205518729788,REJECTED_UNSTABLE,stability
PB|held_out|F01|r002,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,9.400464414024238e-05,0.044275708857661314,0.0021231651974777167,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,9,False,30,15,False,30,1,False,24,20,0,0,0,0,0,0,0,,0.9677780617933959,0.31177277641774837,0.6560052853756475,0.9677780617933959,20,5,120,30,6,0.0,5.922691787879838,0.2044653914043467,REJECTED_UNSTABLE,stability
PB|held_out|F01|r003,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.00015771017731771217,0.057686922109562534,0.0027338982831876407,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,0,False,30,1,False,30,0,False,24,20,0,0,0,0,0,0,0,,0.9777831233058769,0.2595074578155008,0.7182756654903761,0.9777831233058769,20,5,120,30,6,0.0,3.447669272589205,0.19161499132564622,REJECTED_UNSTABLE,stability
PB|held_out|F01|r004,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,8.846614745781773e-05,0.05266439931134659,0.001679809294601745,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,7,False,30,10,False,30,4,False,24,20,0,0,0,0,0,0,0,,0.9552419604201052,0.2237289061746046,0.7315130542455006,0.9562969776160131,20,5,120,30,6,0.0,5.001595010980741,0.2167749465909128,REJECTED_UNSTABLE,stability
PB|held_out|F01|r005,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.00020076696547348917,0.06659298240174293,0.0030148366724634715,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,11,False,30,11,False,30,1,False,24,20,0,0,0,0,0,0,0,,0.970823606036938,0.24141214150733917,0.7294114645295988,0.9764981920710565,20,5,120,30,6,0.0,4.563319723021405,0.16574131356725272,REJECTED_UNSTABLE,stability
PB|held_out|F01|r006,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,6.287676374316807e-05,0.047032892327797456,0.0013368678945990856,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,7,False,30,6,False,30,1,False,24,20,0,0,0,0,0,0,0,,0.9431545943406373,0.26000889951691036,0.6831456948237269,0.9431545943406373,20,5,120,30,6,0.0,4.040354703844936,0.1920718742507448,REJECTED_UNSTABLE,stability
PB|held_out|F01|r007,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.0001205758609388473,0.05457558552083718,0.002209337010096043,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,17,False,30,15,False,30,1,False,24,20,0,0,0,0,0,0,0,,0.9777635694710236,0.2828070702687082,0.6949564992023154,0.9777635694710236,20,5,120,30,6,0.0,6.051089674930312,0.21725505233344689,REJECTED_UNSTABLE,stability
PB|held_out|F01|r008,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.00023686797009142156,0.047858026611442235,0.0049493885741371015,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,17,False,30,18,False,30,3,False,24,20,0,0,0,0,0,0,0,,0.9407018726372707,0.19708612843362372,0.743615744203647,0.9407018726372707,20,5,120,30,6,0.0,6.107158064977455,0.20559328344716285,REJECTED_UNSTABLE,stability
PB|held_out|F01|r009,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.00017014470159134936,0.053970222183183994,0.0031525662617035316,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,8,False,30,12,False,30,3,False,24,20,0,0,0,0,0,0,0,,0.9729070490539806,0.21397562437694603,0.7589314246770346,0.9729070490539806,20,5,120,30,6,0.0,4.48401120434208,0.21317295384518695,REJECTED_UNSTABLE,stability
PB|held_out|F01|r010,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.00021850158946436245,0.053855703185824284,0.004057167143662432,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,7,False,30,6,False,30,5,False,24,20,0,0,0,0,0,0,0,,0.9325675151831334,0.283867961863911,0.6486995533192224,0.9407032953194554,20,5,120,30,6,0.0,4.544415354115241,0.19745258480658232,REJECTED_UNSTABLE,stability
PB|held_out|F01|r011,F01,F01,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,1.0,0.8,True,0.0002771410323553763,0.04104562204949983,0.006752024174981493,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,6,False,30,5,False,30,3,False,24,20,0,0,0,0,0,0,0,,0.9673040699326175,0.35840509961934275,0.6088989703132748,0.9673040699326175,20,5,120,30,6,0.0,9.136298861912028,0.1959677480952298,REJECTED_UNSTABLE,stability
PB|held_out|F02|r000,F02,F02,mass_affine_descriptor,False,m0_accepted,m0_accepted,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; blocked by M3 on evaluability, not by any detector firing.  Both continuous competence conditions passed.",0.9733036707452726,0.8,True,0.02664741188891941,0.05096276914524807,0.5228799834830816,0.8,True,BOUNDARY_LIMITED,BOUNDARY_LIMITED,True,False,,M3,30,5,False,27,8,False,14,1,False,24,20,0,3,16,0,0,3,16,M3:low_energy_plateau@upper,0.9684128924472452,0.2318765967206858,0.7365362957265593,0.9999,20,5,120,30,6,0.0,4.7850768719880294,0.21796608231594058,UNEVALUABLE,a1_adequacy
PB|held_out|F02|r001,F02,F02,mass_affine_descriptor,False,m0_accepted,m0_accepted,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; blocked by M3 on evaluability, not by any detector firing.  Both continuous competence conditions passed.",0.9670745272525029,0.8,True,0.028695346094194267,0.05678498090755804,0.5053333757549073,0.8,True,BOUNDARY_LIMITED,BOUNDARY_LIMITED,True,False,,M3,30,6,False,25,5,False,21,4,False,24,20,0,5,9,0,0,5,9,M3:low_energy_plateau@upper,0.9587271551617159,0.3459320347855622,0.6127951203761537,0.9999,20,5,120,30,6,0.0,4.293825627556664,0.22844253205964601,UNEVALUABLE,a1_adequacy
PB|held_out|F02|r002,F02,F02,mass_affine_descriptor,False,m0_accepted,m0_accepted,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; blocked by M3 on evaluability, not by any detector firing.  Both continuous competence conditions passed.",0.9519466073414905,0.8,True,0.029576657619759306,0.05622651378913698,0.5260268799641202,0.8,True,BOUNDARY_LIMITED,BOUNDARY_LIMITED,True,False,,M3,30,10,False,25,3,False,5,4,False,24,20,0,5,25,0,0,5,25,M3:low_energy_plateau@upper,0.9999,0.33976802146193524,0.6601319785380648,0.9999,20,5,120,30,6,0.0,4.23279350464595,0.19407321843690492,UNEVALUABLE,a1_adequacy
PB|held_out|F02|r003,F02,F02,mass_affine_descriptor,False,m0_accepted,m0_accepted,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; blocked by M3 on evaluability, not by any detector firing.  Both continuous competence conditions passed.",0.9479421579532814,0.8,True,0.028984471115461184,0.04821145314379001,0.6011947208688232,0.8,True,BOUNDARY_LIMITED,BOUNDARY_LIMITED,True,False,,M3,30,10,False,30,8,False,14,4,False,24,20,0,0,16,0,0,0,16,M3:low_energy_plateau@upper,0.9898715322230582,0.2862737351957446,0.7035977970273136,0.9926672076532748,20,5,120,30,6,0.0,5.2708246225775826,0.24347217281965627,UNEVALUABLE,a1_adequacy
PB|held_out|F02|r004,F02,F02,mass_affine_descriptor,True,NONE,,NONE_SUCCESS,all three G1 conjuncts satisfied,0.9377085650723025,0.8,True,0.0326374699092506,0.05335850963581189,0.6116638214225115,0.8,True,M0_NOT_REJECTED,M0_NOT_REJECTED,True,True,,,30,4,False,29,10,False,25,6,False,24,20,0,1,5,0,0,1,5,M3:low_energy_plateau@upper,0.9363831292621806,0.21150734462363108,0.7248757846385495,0.9819962482865856,20,5,120,30,6,0.0,4.62280549875634,0.2139793627034023,REJECTED_CEILING,ceiling
PB|held_out|F02|r005,F02,F02,mass_affine_descriptor,False,m0_accepted,m0_accepted,MODEL_ADEQUACY_LIMITATION,"A1 returned BOUNDARY_LIMITED; blocked by M3 on evaluability, not by any detector firing.  Both continuous competence conditions passed.",0.9777530589543939,0.8,True,0.030044913972548888,0.06428687034758943,0.46735692389597694,0.8,True,BOUNDARY_LIMITED,BOUNDARY_LIMITED,True,False,,M3,30,2,False,26,8,False,21,6,False,24,20,0,4,9,0,0,4,9,M3:low_energy_plateau@upper,0.960087964591566,0.27204091734884495,0.688047047242721,0.9999,20,5,120,30,6,0.0,6.169415830051182,0.20394091721613616,UNEVALUABLE,a1_adequacy
