spec,instrument,instrument_type,ionization,adduct,precursor,precursor_mz,precursor_abs_diff,collision_energies,collision_energy,fold,simulation_challenge,labels_ce_is_trunc_of_parquet,precursor_mismatch,ce_mismatch,instrument_mismatch,adduct_mismatch,inchikey_mismatch,formula_mismatch,smiles_canonical_mismatch
MassSpecGymID0000017,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['19'],19.14924,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000018,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['25'],25.53232,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000019,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['41'],41.49002,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000020,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['9'],9.57462,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000021,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['15'],15.9577,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000022,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['22'],22.34078,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000023,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['38'],38.29848,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000026,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['28'],28.72386,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000027,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['12'],12.76616,train,True,True,False,True,False,False,False,False,False
MassSpecGymID0000032,Orbitrap,Orbitrap,[M+H]+,[M+H]+,319.154,319.154,0.0,['41'],41.49002,train,True,True,False,True,False,False,False,False,False
