key,name,scaffold_group,n_records,labs,ce_strings,itypes,max_ce_within_lab,in_msg15_all,in_msg15_train,in_msg15_val,in_msg15_test,in_msg15_parent_all,in_msg15_simchallenge,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_pr7_study2,in_comparator_common,in_msnlib_9lib,in_multims2_reserved,scaf_in_msg15_scaffolds,scaf_in_muru_registry_scaffolds,scaf_in_pr7_study2_scaffolds,scaf_in_comparator_scaffolds
ABPDEYSUVLXYCB,Abietospiran,O=C1CCC2(CCC3(CCC4C3CCC35CC36CCCCC6CCC45)O2)O1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADFCQWZHKCXPAJ,Equol,c1ccc(C2COc3ccccc3C2)cc1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ADVPTQAUNPRNPO,3-Sulfinoalanine,__ACYCLIC__ADVPTQAUNPRNPO,1,MC20,100,LC-ESI-ITFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
AEMFNILZOJDQLW,Androstenedione,O=C1C=C2CCC3C4CCC(=O)C4CCC3C2CC1,1,MC22,30 eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False
AGIQIKMGJVLKMA,Carabrone,C=C1C(=O)OC2CC3CC3CC12,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AGPKZVBTJJNPAG,L-Isoleucine,__ACYCLIC__AGPKZVBTJJNPAG,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AHLPHDHHMVZTML,Ornithine,__ACYCLIC__AHLPHDHHMVZTML,8,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AIFCFBUSLAEIBR,Ginkgetin,O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,1,MC09,"15,30,45 (NCE)",LC-ESI-QFT,0,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AJSPSRWWZBBIOR,Isobergapten,O=c1ccc2ccc3occc3c2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
ALEXXDVDDISNDU,CORTISOL 21-ACETATE,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ALYNCZNDIQEVRV,p-Aminobenzoic acid,c1ccccc1,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AMRSWCRLMWFDQS,"8,9-epoxy-14-oxo-germacra-1,10E,4,5Z,7,11-trienolide",C=C1C(=O)OC2C=CCCC=CC3OC3C12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOQQTUFPZUDJJI,β-Isoalantolactone-Glutathione,C=C1CCCC2CC3OC(=O)CC3CC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
APJYDQYYACXCRM,Tryptamine,c1ccc2[nH]ccc2c1,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ARGKVCXINMKCAZ,neohesperidin,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATHGHQPFGPMSJY,Spermidine,__ACYCLIC__ATHGHQPFGPMSJY,7,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
ATUPZONNYSDDBY,"Tifruticin, desoxy-1,2-dihydro",C=C1C(=O)OC2C=CCCCCCCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AUNGANRZJHBGPY,RIBOFLAVIN,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False
AUTOLBMXDDTRRT,DETHIOBIOTIN,O=C1NCCN1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
AVFIYMSJDDGDBQ,Tomentosin,C=C1C(=O)OC2CCC=CCC12,1,MC14,50eV,LC-ESI-ITFT,1,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False
AWDRATDZQPNJFN,Taurodeoxycholic acid,C1CCC2C(C1)CCC1C3CCCC3CCC21,6,MC20,10|100|20|30|40|60,LC-ESI-ITFT,6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AWUCVROLDVIAJX,GLYCEROL 3-PHOSPHATE,__ACYCLIC__AWUCVROLDVIAJX,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
AXMVYSVVTMKQSL,Caffeic aldehyde,c1ccccc1,1,MC19,45eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
AYFVYJQAPQTCCC,L-Threonine,__ACYCLIC__AYFVYJQAPQTCCC,8,"MC20,MC22",10|100|20|30|30eV|40|60,"LC-ESI-ITFT,LC-ESI-QFT",6,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BAURYGOYSLZFPX,14-Hydroxy-Parthenolide,C=C1C(=O)OC2C1CCC=CCCC1OC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
BBMLTTOFEBDQIR,Epi-Inunolide,C=C1C(=O)OC2CC=CCCC=CCC12,1,MC14,50eV,LC-ESI-ITFT,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BBYIMPSUCDZNDY,"(20S)-20-(5-methyl-pyridyl-2)-5alpha-pregnan-3beta, 16alpha-diol",c1ccc(CC2CCC3C2CCC2C4CCCCC4CCC23)nc1,1,MC01,35 CID,APCI-ITFT,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BBZCPUCZKLTAJQ,3-METHYL-2-OXINDOLE,O=C1Cc2ccccc2N1,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
BDCDNTVZSILEOY,Quercetin-3-O-a-D-arabinopyranoside,O=c1c(OC2CCCO2)c(-c2ccccc2)oc2ccccc12,1,MC25,0.3,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BDJRBEYXGGNYIS,AZELATE,__ACYCLIC__BDJRBEYXGGNYIS,1,MC22,30eV,LC-ESI-QFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
BGEBZHIAGXMEMV,Bergapten,O=c1ccc2cc3ccoc3cc2o1,1,MC19,45eV,LC-ESI-ITFT,1,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,False,False
