key,scaffold_group,mh,muru_supported,plated_libraries,key_libraries,in_msnlib_v1_0,in_msnlib_16984129,parse_ok,parent_exact_mass,n_atoms_with_h,elements,mspred_elements_ok,multi_component,fiora_supported,mspred_supported,iceberg_ev_nce20,iceberg_ev_nce60,msg_folds,in_msg_any,in_msg_train_or_val,max_similarity_to_dev,novelty_bin
AACWHNWGNNQFNJ,c1ccc(CCCN2CCC(Oc3ncccn3)CC2)cc1,332.15241600400003,True,mcediv_50k,mcediv_50k,False,True,True,331.14514000400004,45,"C,Cl,H,N,O",True,False,True,True,13.286096640160002,39.858289920480004,,False,False,0.3614457831325301,"Q3 [0.319,0.364)"
AAMBVCCBNOIXNL,O=S(=O)(NCc1nccc(N2CCOCC2)n1)c1ccccc1,349.13288750000004,True,mcediv_50k,mcediv_50k,False,True,True,348.12561150000005,44,"C,H,N,O,S",True,False,True,True,13.9653155,41.89594650000001,,False,False,0.3670886075949367,"Q4 [0.364,1.000)"
AASLFELHFOYXIN,O=C(Cn1nc[nH]c1=O)NCCc1ccccc1,329.12198638,True,mcediv_50k,mcediv_50k,False,True,True,328.11471038,38,"C,F,H,N,O",True,False,True,True,13.1648794552,39.494638365600004,,False,False,0.375,"Q4 [0.364,1.000)"
AAVLZVTZNNAASM,O=C(c1cccnc1)N1CCCCC1c1noc(C2CC2)n1,315.145166436,True,enamdisc,enamdisc,False,True,True,314.137890436,41,"C,H,N,O",True,False,True,True,12.60580665744,37.81741997232,,False,False,0.2621359223300971,"Q1 [0.000,0.281)"
ABCQZMQEKXPIFP,O=C(CNC(=O)C1CCCCC1)Nc1nc2ccccc2[nH]1,301.16590188,True,mcediv_50k,mcediv_50k,False,True,True,300.15862588,42,"C,H,N,O",True,False,True,True,12.0466360752,36.139908225599996,,False,False,0.4647887323943662,"Q4 [0.364,1.000)"
ABGZKYLUNKBOCQ,c1cc(NC2CCN(c3cnccn3)CC2)ncn1,301.17713525999994,True,enamdisc,enamdisc,False,True,True,300.16985925999995,42,"C,H,N,O",True,False,True,True,12.047085410399998,36.141256231199996,,False,False,0.2702702702702703,"Q1 [0.000,0.281)"
ABJVQMQZVOYUMQ,c1ccc(OCc2nc3nccc(-c4cccnc4)n3n2)cc1,304.119286036,True,mcediv_50k,mcediv_50k,False,True,True,303.112010036,36,"C,H,N,O",True,False,True,True,12.16477144144,36.49431432432,,False,False,0.3592233009708738,"Q3 [0.319,0.364)"
ABYOVIVWKRGMMX,O=S(=O)(Nc1ccc2c(c1)OCCO2)c1ccsc1-c1nc(-c2ccccc2)no1,470.083888708,True,mcescaf,mcescaf,True,True,True,469.07661270799997,51,"C,H,N,O,S",True,False,True,True,18.80335554832,56.410066644960004,test,True,False,0.2913385826771653,"Q2 [0.281,0.319)"
ACKAGGWASQAMJO,O=C(CCc1cccc2[nH]ccc12)NCc1ccccc1,323.175403944,True,mcediv_50k,mcediv_50k,False,True,True,322.168127944,46,"C,H,N,O",True,False,True,True,12.927016157759999,38.781048473279995,,False,False,0.3762376237623762,"Q4 [0.364,1.000)"
ACSALFRZGTUHRF,O=C(CN1C(=O)COc2ccccc21)NC1CCN(c2nccs2)CC1,387.1485375639999,True,enamdisc,enamdisc,False,True,True,386.14126156399993,49,"C,H,N,O,S",True,False,True,True,15.485941502559998,46.457824507679994,,False,False,0.2657342657342657,"Q1 [0.000,0.281)"
ADCLVWNNQHSMHA,c1ccc2nsnc2c1,343.12569394400003,True,mcediv_50k;mcescaf,mcediv_50k;mcescaf,True,True,True,342.11841794400004,44,"C,H,N,O,S",True,False,True,True,13.725027757760001,41.17508327328,train,True,True,0.2926829268292683,"Q2 [0.281,0.319)"
ADMHNFPUCOWXKY,O=S(=O)(N1CCCC1)N1CCc2cccnc21,254.09577372,True,enamdisc,enamdisc,False,True,True,253.08849772,32,"C,H,N,O,S",True,False,True,True,10.163830948800001,30.4914928464,,False,False,0.2857142857142857,"Q2 [0.281,0.319)"
AEKCMFYYTJHRPX,O=C(NCC(=O)N1CCC(c2ncc[nH]2)C1)c1ccccc1,385.223416756,True,enamdisc,enamdisc,False,True,True,384.216140756,56,"C,H,N,O",True,False,True,True,15.408936670240001,46.22681001072,,False,False,0.3294117647058823,"Q3 [0.319,0.364)"
